"PK","SK","close","created_at","high","low","open","pair","timeframe_minutes","timestamp","volume","vwap"
"PAIR#XXBTZUSD","TF#1m#TS#1778396760","80738.3","1778439985","80738.3","80738.2","80738.3","XXBTZUSD","1","1778396760","0.03269698","80738.2"
"PAIR#XXBTZUSD","TF#1m#TS#1778396820","80738.3","1778440045","80738.3","80738.2","80738.3","XXBTZUSD","1","1778396820","0.00289444","80738.2"
"PAIR#XXBTZUSD","TF#1m#TS#1778396880","80746.6","1778440105","80746.6","80738.2","80738.3","XXBTZUSD","1","1778396880","0.05698077","80740.3"
"PAIR#XXBTZUSD","TF#1m#TS#1778396940","80746.6","1778440165","80746.6","80746.5","80746.5","XXBTZUSD","1","1778396940","0.12677508","80746.5"
"PAIR#XXBTZUSD","TF#1m#TS#1778397000","80746.5","1778440225","80746.6","80746.5","80746.6","XXBTZUSD","1","1778397000","0.01465113","80746.5"
"PAIR#XXBTZUSD","TF#1m#TS#1778397060","80746.6","1778440285","80746.6","80746.5","80746.6","XXBTZUSD","1","1778397060","0.01584073","80746.5"
"PAIR#XXBTZUSD","TF#1m#TS#1778397120","80746.1","1778440345","80746.6","80746.1","80746.6","XXBTZUSD","1","1778397120","0.29884601","80746.4"
"PAIR#XXBTZUSD","TF#1m#TS#1778397180","80746.2","1778440405","80746.2","80746.1","80746.1","XXBTZUSD","1","1778397180","0.02904596","80746.1"
"PAIR#XXBTZUSD","TF#1m#TS#1778397240","80731","1778440465","80746.2","80731","80746.2","XXBTZUSD","1","1778397240","0.03598908","80739.2"
"PAIR#XXBTZUSD","TF#1m#TS#1778397300","80723.5","1778440525","80730.9","80723.5","80730.9","XXBTZUSD","1","1778397300","0.0165869","80723.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778397360","80723.5","1778440585","80723.6","80723.5","80723.5","XXBTZUSD","1","1778397360","0.01795023","80723.5"
"PAIR#XXBTZUSD","TF#1m#TS#1778397420","80738.9","1778440645","80738.9","80723.5","80723.6","XXBTZUSD","1","1778397420","0.12216153","80723.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778397480","80747.2","1778440705","80747.2","80738.9","80738.9","XXBTZUSD","1","1778397480","0.01556022","80746.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778397540","80747.2","1778440765","80747.3","80746.5","80747.2","XXBTZUSD","1","1778397540","0.28376533","80746.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778397600","80746.7","1778440825","80746.7","80746.6","80746.7","XXBTZUSD","1","1778397600","0.00118049","80746.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778397660","80746.7","1778440885","80746.7","80746.6","80746.7","XXBTZUSD","1","1778397660","0.00325442","80746.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778397720","80768.8","1778440945","80768.9","80746.6","80746.6","XXBTZUSD","1","1778397720","0.15713194","80748.1"
"PAIR#XXBTZUSD","TF#1m#TS#1778397780","80768.9","1778441005","80768.9","80768.8","80768.8","XXBTZUSD","1","1778397780","0.00677207","80768.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778397840","80762.1","1778441065","80768.9","80762.1","80768.8","XXBTZUSD","1","1778397840","0.2136645","80764.5"
"PAIR#XXBTZUSD","TF#1m#TS#1778397900","80758.2","1778441125","80762.2","80758.2","80762.1","XXBTZUSD","1","1778397900","0.00496074","80760.7"
